nops,cycles
1102,7765
1103,7601
1104,7662
1105,7659
1106,7732
1107,7593
1108,7635
1109,7693
1110,7599
1111,7878
1112,7650
1113,7656
1114,7713
1115,7631
1116,7667
1117,7811
1118,7820
1119,7754
1120,7831
1121,7823
1122,7746
1123,7862
1124,7792
1125,7808
1126,7782
1127,7913
1128,7825
1129,7799
1130,7808
1131,7926
1132,7788
1133,7899
1134,7866
1135,7820
1136,7858
1137,7861
1138,7910
1139,7942
1140,7912
1141,7843
1142,7906
1143,7930
1144,7900
1145,7844
1146,8001
1147,7836
1148,7921
1149,8035
1150,8131
1151,7992
1152,8046
1153,8031
1154,7894
1155,8063
1156,7998
1157,8074
1158,7931
1159,8063
1160,8073
1161,7981
1162,8003
1163,8028
1164,8018
1165,8174
1166,8067
1167,8154
1168,8049
1169,8147
1170,8090
1171,8108
1172,8244
1173,8024
1174,8060
1175,8021
1176,8172
1177,8179
1178,8072
1179,8205
1180,8072
1181,8240
1182,8186
1183,8272
1184,8241
1185,8158
1186,8286
1187,8196
1188,8283
1189,8301
1190,8218
1191,8260
1192,8327
1193,8277
1194,8207
1195,8199
1196,8291
1197,8270
1198,8271
1199,8321
1200,8301
1201,8369
1202,8287
1203,8332
1204,8347
1205,8328
1206,8388
1207,8362
1208,8366
1209,8334
1210,8295
1211,8279
1212,8305
1213,8486
1214,8548
1215,8425
1216,8472
1217,8553
1218,8482
1219,8513
1220,8422
1221,8441
1222,8446
1223,8518
1224,8443
1225,8549
1226,8485
1227,8460
1228,8563
1229,8561
1230,8522
1231,8435
1232,8555
1233,8543
1234,8414
1235,8501
1236,8542
1237,8562
1238,8522
1239,8562
1240,8634
1241,8631
1242,8448
1243,8592
1244,8641
1245,8636
1246,8692
1247,8738
1248,8780
1249,8638
1250,8661
1251,8746
1252,8678
1253,8686
1254,8654
1255,8725
1256,8849
1257,8661
1258,8696
1259,8762
1260,8712
1261,8720
1262,8782
1263,8735
1264,8768
1265,8763
1266,8779
1267,8785
1268,8796
1269,8733
1270,8719
1271,8737
1272,8901
1273,8816
1274,8677
1275,8818
1276,8814
1277,9012
1278,8851
1279,8786
1280,8979
1281,8987
1282,8881
1283,9001
1284,8984
1285,8848
1286,8839
1287,8930
1288,8993
1289,8985
1290,8901
1291,8875
1292,8952
1293,9054
1294,9043
1295,8928
1296,8946
1297,9036
1298,9034
1299,9063
1300,9014
1301,8942
1302,9011
1303,9001
1304,8839
1305,8991
1306,8993
1307,8959
1308,9026
1309,9268
1310,9095
1311,9159
1312,9090
1313,9107
1314,9218
1315,9198
1316,9130
1317,9131
1318,9147
1319,9252
1320,9257
1321,9155
1322,9137
1323,9080
1324,9135
1325,9349
1326,9207
1327,9097
1328,9205
1329,9260
1330,9209
1331,9223
1332,9280
1333,9253
1334,9258
1335,9185
1336,9132
1337,9218
1338,9234
1339,9292
1340,9331
1341,9323
1342,9379
1343,9395
1344,9384
1345,9373
1346,9261
1347,9291
1348,9381
1349,9422
1350,9359
1351,9286
1352,9352
1353,9376
1354,9302
1355,9358
1356,9336
1357,9464
1358,9525
1359,9488
1360,9592
1361,9498
1362,9374
1363,9470
1364,9454
1365,9405
1366,9461
1367,9362
1368,9376
1369,9402
1370,9555
1371,9464
1372,9461
1373,9611
1374,9631
1375,9526
1376,9644
1377,9572
1378,9565
1379,9625
1380,9607
1381,9517
1382,9565
1383,9522
1384,9496
1385,9601
1386,9579
1387,9631
1388,9631
1389,9625
1390,9607
1391,9658
1392,9720
1393,9651
1394,9598
1395,9724
1396,9721
1397,9710
1398,9724
1399,9667
1400,9678
1401,9732
1402,9772
1403,9789
1404,9702
1405,9778
1406,9836
1407,9871
1408,9854
1409,9914
1410,9842
1411,9761
1412,9800
1413,9876
1414,9817
1415,9788
1416,9886
1417,9950
1418,9837
1419,9893
1420,9802
1421,9788
1422,9792
1423,9790
1424,9774
1425,9838
1426,9893
1427,9854
1428,9854
1429,9918
1430,9885
1431,9921
1432,9963
1433,10021
1434,9898
1435,9922
1436,9942
1437,10142
1438,10024
1439,10096
1440,9987
1441,9874
1442,9922
1443,10042
1444,9914
1445,9975
1446,10114
1447,10176
1448,10040
1449,10191
1450,10018
1451,9925
1452,9909
1453,10088
1454,10158
1455,10055
1456,9943
1457,10026
1458,10132
1459,10095
1460,10203
1461,10174
1462,10018
1463,10033
1464,10072
1465,10114
1466,10144
1467,10286
1468,10196
1469,10239
1470,10294
1471,10254
1472,10249
1473,10285
1474,10374
1475,10343
1476,10264
1477,10228
1478,10194
1479,10281
1480,10205
1481,10327
1482,10403
1483,10282
1484,10230
1485,10351
1486,10383
1487,10322
1488,10258
1489,10253
1490,10208
1491,10305
1492,10430
1493,10396
1494,10383
1495,10373
1496,10335
1497,10291
1498,10372
1499,10469
1500,10445
1501,10426
1502,10430
1503,10489
1504,10521
1505,10435
1506,10362
1507,10532
1508,10588
1509,10463
1510,10452
1511,10540
1512,10508
1513,10427
1514,10544
1515,10562
1516,10446
1517,10546
1518,10578
1519,10599
1520,10445
1521,10478
1522,10597
1523,10608
1524,10521
1525,10463
1526,10589
1527,10722
1528,10581
1529,10544
1530,10590
1531,10753
1532,10535
1533,10761
1534,10603
1535,10697
1536,10823
1537,10706
1538,10607
1539,10775
1540,10676
1541,10605
1542,10650
1543,10748
1544,10643
1545,10633
1546,10860
1547,10805
1548,10647
1549,10841
1550,10826
1551,10738
1552,10785
1553,10669
1554,10793
1555,10803
1556,10819
1557,10910
1558,10874
1559,10776
1560,10923
1561,10768
1562,10766
1563,10912
1564,10843
1565,10838
1566,10912
1567,10960
1568,10793
1569,10921
1570,10827
1571,10870
1572,10905
1573,11005
1574,10961
1575,10852
1576,11007
1577,10907
1578,10851
1579,10903
1580,10835
1581,11013
1582,10963
1583,10890
1584,11117
1585,11045
1586,10947
1587,11035
1588,10966
1589,11106
1590,11007
1591,10946
1592,10947
1593,11044
1594,10994
1595,11024
1596,10998
1597,11094
1598,11251
1599,11166
1600,11072
1601,11111
1602,11150
1603,11136
1604,11196
1605,11092
1606,11120
1607,11241
1608,11135
1609,11162
1610,11195
1611,11074
1612,11136
1613,11204
1614,11165
1615,11136
1616,11142
1617,11308
1618,11180
1619,11166
1620,11196
1621,11292
1622,11260
1623,11199
1624,11289
1625,11286
1626,11309
1627,11229
1628,11158
1629,11343
1630,11271
1631,11350
1632,11198
1633,11393
1634,11257
1635,11391
1636,11398
1637,11334
1638,11280
1639,11385
1640,11330
1641,11362
1642,11370
1643,11322
1644,11372
1645,11535
1646,11512
1647,11501
1648,11430
1649,11393
1650,11469
1651,11444
1652,11495
1653,11347
1654,11474
1655,11498
1656,11561
1657,11346
1658,11487
1659,11483
1660,11574
1661,11540
1662,11552
1663,11520
1664,11518
1665,11560
1666,11701
1667,11611
1668,11559
1669,11477
1670,11695
1671,11602
1672,11730
1673,11588
1674,11486
1675,11608
1676,11505
1677,11651
1678,11549
1679,11583
1680,11603
1681,11595
1682,11699
1683,11785
1684,11615
1685,11781
1686,11659
1687,11744
1688,11778
1689,11669
1690,11762
1691,11665
1692,11782
1693,11883
1694,11828
1695,11795
1696,11788
1697,11827
1698,11888
1699,11937
1700,11839
1701,11803
1702,11786
1703,11723
1704,11929
1705,11870
1706,11863
1707,11820
1708,11805
1709,11803
1710,11848
1711,11778
1712,11948
1713,11882
1714,11796
1715,11889
1716,11799
1717,11797
1718,11800
1719,12006
1720,11919
1721,11882
1722,11896
1723,11845
1724,11851
1725,12136
1726,11920
1727,11985
1728,11985
1729,11905
1730,11974
1731,12007
1732,11885
1733,11941
1734,11939
1735,12033
1736,12095
1737,12041
1738,12138
1739,12032
1740,11993
1741,12023
1742,12121
1743,12125
1744,12227
1745,12180
1746,12121
1747,12092
1748,12149
1749,12088
1750,12161
1751,12233
1752,12189
1753,12229
1754,12150
1755,12124
1756,12185
1757,12366
1758,12231
1759,12226
1760,12225
1761,12159
1762,12133
1763,12308
1764,12278
1765,12160
1766,12157
1767,12299
1768,12077
1769,12250
1770,12313
1771,12255
1772,12308
1773,12293
1774,12317
1775,12277
1776,12235
1777,12423
1778,12418
1779,12339
1780,12362
1781,12316
1782,12204
1783,12279
1784,12311
1785,12331
1786,12443
1787,12451
1788,12449
1789,12468
1790,12360
1791,12349
1792,12449
1793,12477
1794,12440
1795,12403
1796,12438
1797,12514
1798,12543
1799,12561
1800,12503
1801,12600
1802,12526
1803,12447
1804,12474
1805,12600
1806,12594
1807,12650
1808,12554
1809,12645
1810,12530
1811,12583
1812,12654
1813,12688
1814,12604
1815,12565
1816,12522
1817,12498
1818,12667
1819,12459
1820,12487
1821,12624
1822,12708
1823,12650
1824,12675
1825,12573
1826,12648
1827,12689
1828,12700
1829,12776
1830,12786
1831,12674
1832,12623
1833,12601
1834,12617
1835,12739
1836,12704
1837,12751
1838,12805
1839,12706
1840,12668
1841,12730
1842,12756
1843,12759
1844,12774
1845,12828
1846,12855
1847,12798
1848,12781
1849,12785
1850,12756
1851,12846
1852,12759
1853,12919
1854,12894
1855,13022
1856,12988
1857,13040
1858,12968
1859,12927
1860,12819
1861,12873
1862,12847
1863,12905
1864,12988
1865,12984
1866,12991
1867,12898
